Day	Date	Measure	time	times	addt
35	2019-03-10	Sunrise_time	06:02	21720	1980
36	2019-03-11	Sunrise_time	06:00	21600	2040
37	2019-03-12	Sunrise_time	05:58	21480	2040
38	2019-03-13	Sunrise_time	05:55	21300	1980
39	2019-03-14	Sunrise_time	05:53	21180	2040
40	2019-03-15	Sunrise_time	05:51	21060	2040
41	2019-03-16	Sunrise_time	05:48	20880	1980
42	2019-03-17	Sunrise_time	05:46	20760	2040
1	2019-02-04	Nautical_twilight	05:55:00	21300	2400
2	2019-02-05	Nautical_twilight	05:53:00	21180	2340
3	2019-02-06	Nautical_twilight	05:52:00	21120	2400
4	2019-02-07	Nautical_twilight	05:50:00	21000	2340
5	2019-02-08	Nautical_twilight	05:49:00	20940	2400
6	2019-02-09	Nautical_twilight	05:47:00	20820	2340
7	2019-02-10	Nautical_twilight	05:46:00	20760	2400
8	2019-02-11	Nautical_twilight	05:44:00	20640	2340
9	2019-02-12	Nautical_twilight	05:42:00	20520	2340
10	2019-02-13	Nautical_twilight	05:41:00	20460	2400
11	2019-02-14	Nautical_twilight	05:39:00	20340	2340
12	2019-02-15	Nautical_twilight	05:37:00	20220	2340
13	2019-02-16	Nautical_twilight	05:35:00	20100	2340
14	2019-02-17	Nautical_twilight	05:33:00	19980	2340
15	2019-02-18	Nautical_twilight	05:31:00	19860	2340
16	2019-02-19	Nautical_twilight	05:30:00	19800	2400
17	2019-02-20	Nautical_twilight	05:28:00	19680	2400
18	2019-02-21	Nautical_twilight	05:26:00	19560	2340
19	2019-02-22	Nautical_twilight	05:24:00	19440	2340
20	2019-02-23	Nautical_twilight	05:22:00	19320	2340
21	2019-02-24	Nautical_twilight	05:20:00	19200	2400
22	2019-02-25	Nautical_twilight	05:18:00	19080	2400
23	2019-02-26	Nautical_twilight	05:16:00	18960	2400
24	2019-02-27	Nautical_twilight	05:14:00	18840	2400
25	2019-02-28	Nautical_twilight	05:11:00	18660	2340
26	2019-03-01	Nautical_twilight	05:09:00	18540	2340
27	2019-03-02	Nautical_twilight	05:07:00	18420	2340
28	2019-03-03	Nautical_twilight	05:05:00	18300	2400
29	2019-03-04	Nautical_twilight	05:03:00	18180	2400
30	2019-03-05	Nautical_twilight	05:01:00	18060	2400
31	2019-03-06	Nautical_twilight	04:58:00	17880	2340
32	2019-03-07	Nautical_twilight	04:56:00	17760	2400
33	2019-03-08	Nautical_twilight	04:54:00	17640	2400
34	2019-03-09	Nautical_twilight	04:52:00	17520	2400
35	2019-03-10	Nautical_twilight	04:49:00	17340	2400
36	2019-03-11	Nautical_twilight	04:47:00	17220	2400
37	2019-03-12	Nautical_twilight	04:45:00	17100	2460
38	2019-03-13	Nautical_twilight	04:42:00	16920	2400
39	2019-03-14	Nautical_twilight	04:40:00	16800	2460
40	2019-03-15	Nautical_twilight	04:38:00	16680	2460
41	2019-03-16	Nautical_twilight	04:35:00	16500	2460
42	2019-03-17	Nautical_twilight	04:33:00	16380	2460
1	2019-02-04	Astron_twilight	05:15:00	18900	18900
2	2019-02-05	Astron_twilight	05:14:00	18840	18840
3	2019-02-06	Astron_twilight	05:12:00	18720	18720
4	2019-02-07	Astron_twilight	05:11:00	18660	18660
5	2019-02-08	Astron_twilight	05:09:00	18540	18540
6	2019-02-09	Astron_twilight	05:08:00	18480	18480
7	2019-02-10	Astron_twilight	05:06:00	18360	18360
8	2019-02-11	Astron_twilight	05:05:00	18300	18300
9	2019-02-12	Astron_twilight	05:03:00	18180	18180
10	2019-02-13	Astron_twilight	05:01:00	18060	18060
11	2019-02-14	Astron_twilight	05:00:00	18000	18000
12	2019-02-15	Astron_twilight	04:58:00	17880	17880
13	2019-02-16	Astron_twilight	04:56:00	17760	17760
14	2019-02-17	Astron_twilight	04:54:00	17640	17640
15	2019-02-18	Astron_twilight	04:52:00	17520	17520
16	2019-02-19	Astron_twilight	04:50:00	17400	17400
17	2019-02-20	Astron_twilight	04:48:00	17280	17280
18	2019-02-21	Astron_twilight	04:47:00	17220	17220
19	2019-02-22	Astron_twilight	04:45:00	17100	17100
20	2019-02-23	Astron_twilight	04:43:00	16980	16980
21	2019-02-24	Astron_twilight	04:40:00	16800	16800
22	2019-02-25	Astron_twilight	04:38:00	16680	16680
23	2019-02-26	Astron_twilight	04:36:00	16560	16560
24	2019-02-27	Astron_twilight	04:34:00	16440	16440
25	2019-02-28	Astron_twilight	04:32:00	16320	16320
26	2019-03-01	Astron_twilight	04:30:00	16200	16200
27	2019-03-02	Astron_twilight	04:28:00	16080	16080
28	2019-03-03	Astron_twilight	04:25:00	15900	15900
29	2019-03-04	Astron_twilight	04:23:00	15780	15780
30	2019-03-05	Astron_twilight	04:21:00	15660	15660
31	2019-03-06	Astron_twilight	04:19:00	15540	15540
32	2019-03-07	Astron_twilight	04:16:00	15360	15360
33	2019-03-08	Astron_twilight	04:14:00	15240	15240
34	2019-03-09	Astron_twilight	04:12:00	15120	15120
